id,client_id,ticket_id,type,status,created_at
4e1bdf6b-ea63-4da5-a0e5-148bd1cad47e,0c3cb5ea-c429-4ed9-b557-9e6bb4e4cf01,4a4777d4-3d96-4c7b-8e2f-31ab325dc7e6,push,sent,2025-10-21 13:40:20
e4d97fd9-7c7e-4e96-8bd4-9b7d64289bf8,52f7a309-b01a-4b5c-8ae8-19adb702ec0b,c8d7f93c-b638-477d-b9e2-46284e16addd,push,failed,2026-04-30 09:33:28
1f4e9b18-9b9b-4f03-ad2f-a5decf045490,290d88d2-7b11-41cf-8a63-aee8db6b85cd,e1c33b3f-bf63-4475-b9b4-fc293b047bef,push,pending,2025-09-03 15:49:25
4fd7eeac-9d82-4e03-a6d5-6ae36bd3c267,d228c96e-cc6d-488d-b666-54794283e4d1,974ee171-1434-40a4-9eed-2eb655bf50a8,push,pending,2026-03-12 06:05:47
3d81d0e0-fbec-4333-b91c-28004495f500,48320f33-669a-4a3d-a52e-a0b9488d964b,2c8f3dec-00d1-4613-a43c-3d7d7294dc22,push,pending,2026-03-18 22:04:08
122f0498-58d7-423d-a528-f464df5a8499,fee8686a-53fa-4bd8-ac0b-0b8649e1af5d,d68db4ff-92af-4dbd-af84-1b45d2e094b6,push,pending,2025-07-06 05:41:32
38007244-99bb-4085-803a-6a771e158fc3,14c4ad18-6d9e-49fd-8af3-5918f692effd,7e06941d-12e5-4e29-95b2-f19939b3cac0,email,pending,2025-08-21 04:14:40
0add05b1-ca3f-4135-b97c-4a8ba2415f1e,2ac4f123-2fd8-48ec-bf8e-4e90ca3fe67e,8f4d45ec-da62-4087-9a00-9b391e004403,email,pending,2025-08-20 21:22:48
94f282e5-3df3-427d-91d4-8eb62d1a6740,7eb226b0-4afb-4b5b-8a78-000dd5738bff,0519ee5f-2e4a-493f-be33-c212176aad3e,email,pending,2025-12-21 01:16:17
dfc240f1-37a8-484b-b4b2-a8356c4e5ea4,24059f53-22af-48be-9cf1-4908ca5da75a,bdb65442-3e47-48ce-8dca-163ef67940c1,email,sent,2025-07-03 04:50:50
