"id","ticket_id","file_url","file_type","created_at"
"7d229615-ea9d-4b03-aa52-a059ad6e4c19","9381e3ac-60f4-4e05-89c6-aa06f11de1e1","https://s3.example.com/files/ab6fb5bf-c7bc-4f13-a5cc-6877f2eeb32b","image/jpeg","2025-11-20 18:15:48"
"7176bf7f-f9e6-4a6b-951e-e6e7bd572f32","375ff52a-90a6-4eaf-94c0-6e4ae63864fa","https://s3.example.com/files/e472a2e0-c909-417c-b334-70e90ad329ec","image/jpeg","2026-02-18 15:28:44"
"90b80db2-e562-4b59-94b8-3e4e1cd80ad7","d2a9d9da-0ca6-4c1f-b2af-9b20d10c081d","https://s3.example.com/files/ff5b2ccd-93fe-4865-8fb8-07a546ad92f2","application/pdf","2025-12-08 21:55:34"
"c73a3144-bc30-40f7-9935-417629f87d11","1a1e51aa-95c2-4ae4-9cc2-4131513db753","https://s3.example.com/files/33f4bbb5-5dbb-4e3f-af94-9f125376c85a","image/png","2025-09-19 01:17:25"
"a90b99a7-f711-4f9d-87b7-bcc71e903c34","5cf62b4a-7fa6-4110-9d96-bd1b50ac38df","https://s3.example.com/files/f5d00cc5-adb1-4d56-802f-744d25246814","image/jpeg","2025-05-26 08:15:13"
"2088fe46-7fb3-40d3-8727-62af4e954ee8","29c3c632-94d3-4c0b-a117-abd2f989ff32","https://s3.example.com/files/ee214fd5-739f-4e71-ae22-83134418fa8f","image/png","2025-05-29 08:20:48"
"66d18a29-457f-4acb-bc32-7da06800b1c4","448d7b04-909b-421a-b270-1a739929c989","https://s3.example.com/files/15d29773-7b9c-45e6-a5f6-ebb8e71bb02c","application/pdf","2026-03-18 11:13:34"
"7456cb91-bf15-4779-81c6-45e147455406","6157496c-d61e-4243-aa39-40e47bba5bc5","https://s3.example.com/files/dd83d3f0-63ed-4e45-8e42-2c1237694f4e","image/png","2025-05-29 01:09:12"
"d442923b-7810-459e-a8db-6274d0fadc72","abaab194-bd05-4351-8f26-f13240c04357","https://s3.example.com/files/448d082a-6bcd-4a4d-97e0-5a8d27586f47","image/jpeg","2025-10-17 10:52:29"
"a4e94769-6b8e-47c2-82d0-fbc0c80387a4","69c2a52d-b8e3-4abc-92cc-a8e74229fcac","https://s3.example.com/files/ea8f073e-928d-47a5-863e-d8f066fdba0a","application/pdf","2026-01-13 10:45:55"
"14dfbfe6-b1ff-4d4e-b011-ee2fe912a80a","27fa3bef-9c68-4d36-81ed-f7e9292604aa","https://s3.example.com/files/d3daa22d-e99f-4fc1-a466-e12960097474","image/png","2026-03-04 07:30:04"
"4f139f14-1b91-4202-bea9-fd56f1df8952","54ca5d92-7cbc-4835-b5e2-8c6c941ea6a1","https://s3.example.com/files/621f97cf-7c36-4e72-b2ed-0d518bb1af7c","image/jpeg","2025-06-06 00:06:29"
"588033ac-b5c8-40b7-83ec-16b5012b29c0","ecc0fde2-2e4c-4e58-b21b-22bbf9d1a68d","https://s3.example.com/files/bba1c67b-e9ce-4098-9879-d9257377a1f6","image/jpeg","2026-03-27 09:07:28"
"9eec7efb-3770-4b7c-b6e0-43c16defe54a","d4bc7b51-02cd-4f11-9a25-3cf00a02d1fe","https://s3.example.com/files/24b2184d-8ad0-4ed4-abae-f2889fc5ff55","application/pdf","2025-09-04 02:22:34"
"da6b235a-d4be-4433-ac68-9f96a3f2cb7a","367ce11e-dd43-4ca8-b10e-4abf60a4da2c","https://s3.example.com/files/fa1a096a-d404-49af-b29f-3121c4a0a81e","image/jpeg","2025-10-11 04:32:16"
"70c336cd-1b40-437f-9922-11cefcee2364","4bf213df-0237-4629-8e94-e0975f995510","https://s3.example.com/files/0e443d9c-5840-41ad-b8f7-fac813293e42","application/pdf","2026-03-17 22:09:37"
"58006c7d-aafb-4733-9543-450461791a35","f7975d34-0c94-41d3-ba80-7ace2bf16023","https://s3.example.com/files/72dc42bc-4ecb-43d2-907f-58ded75fe0fd","image/png","2025-08-13 18:54:05"
"90a15b6c-688d-4895-ad97-8219adc91d70","d2b6501a-6d60-4ddf-a22d-045860f794b2","https://s3.example.com/files/3bf8db24-a0d4-4dcf-b540-ce6ffaca5275","image/png","2025-10-07 01:52:19"
"db33592b-6b8d-4742-9003-70bc6aed4464","ae7264e0-96ab-453b-8639-9d072e88f626","https://s3.example.com/files/f3c021eb-df0b-4e4f-b731-7436698faf3b","application/pdf","2025-12-24 06:10:04"
"bac4ee8a-a39b-4d19-bcb5-3c63f1dd2084","83e48978-95a3-4a2d-b041-e88db392f324","https://s3.example.com/files/9001b001-ac51-4900-a15a-a61e18e4a8df","image/jpeg","2026-03-06 04:20:06"
"d639f2a7-74ce-4b0b-8485-6328156a085d","4b26465f-2441-456a-89a1-10d3423118ad","https://s3.example.com/files/45d4328b-8b4a-4df1-bd72-35e5a132cbc3","application/pdf","2025-09-22 17:50:52"
"dc747e97-fc84-4c76-afa0-27c5bbd21363","67046164-37c4-4107-950c-b99a0f6c1486","https://s3.example.com/files/fde648f1-daf3-4c0e-a518-a5e322de2cf7","image/png","2025-09-02 11:54:48"
